x,x2,x3,d,quantity,x_c
16,272,4476,0,7912,-4
23,541,12578,1,5750,3
24,572,13693,1,6043,4
23,541,12594,1,5692,3
23,535,12359,1,4604,3
27,728,19622,1,5575,7
23,541,12585,1,6459,3
16,260,4194,0,3916,-4
20,416,8482,1,5130,0
24,553,13008,1,6324,4
19,346,6440,0,5000,-1
25,618,15365,1,5877,5
10,103,1043,0,4235,-10
14,209,3017,0,4181,-6
27,734,19894,1,5954,7
11,117,1260,0,4322,-9
17,300,5206,0,4431,-3
14,193,2680,0,5285,-6
19,344,6386,0,5645,-1
10,109,1139,0,4204,-10
27,734,19901,1,4837,7
21,448,9486,1,6536,1
23,509,11471,1,5714,3
21,451,9575,1,6867,1
19,367,7036,0,4443,-1
19,369,7085,0,4861,-1
21,423,8700,1,6586,1
12,143,1710,0,5584,-8
15,219,3237,0,4619,-5
22,486,10701,1,6161,2
26,655,16759,1,5379,6
26,663,17053,1,4458,6
20,398,7951,0,5553,0
21,434,9041,1,6644,1
23,538,12468,1,3700,3
19,362,6876,0,6610,-1
20,389,7677,0,5428,0
21,441,9264,1,2297,1
17,276,4587,0,6391,-3
21,431,8936,1,5455,1
22,475,10341,1,4398,2
22,468,10132,1,4516,2
23,529,12177,1,5977,3
21,437,9129,1,5570,1
18,334,6100,0,5092,-2
27,706,18764,1,5055,7
23,510,11525,1,6910,3
27,729,19701,1,4410,7
26,663,17072,1,5355,6
25,620,15435,1,5356,5
22,464,10001,1,5319,2
9,87,817,0,5602,-11
23,524,11996,1,4942,3
16,248,3917,0,7766,-4
24,585,14147,1,4011,4
13,162,2058,0,5615,-7
25,637,16060,1,4788,5
24,561,13300,1,4582,4
27,709,18882,1,5492,7
8,64,512,0,4963,-12
13,166,2141,0,4356,-7
21,429,8886,1,4516,1
19,344,6385,0,4877,-1
28,773,21480,1,3996,8
22,481,10538,1,4761,2
15,223,3327,0,4083,-5
18,314,5552,0,4305,-2
17,284,4779,0,5280,-3
21,448,9490,1,6026,1
29,870,25670,1,4127,9
12,149,1811,0,4841,-8
19,346,6448,0,4112,-1
14,208,2993,0,2841,-6
24,585,14156,1,5491,4
23,552,12967,1,6046,3
16,256,4088,0,4248,-4
23,516,11717,1,4010,3
21,456,9743,1,5582,1
13,164,2106,0,7158,-7
23,538,12484,1,5094,3
20,415,8462,1,6113,0
15,218,3228,0,5545,-5
25,641,16235,1,4602,5
23,519,11827,1,6373,3
29,817,23371,1,4040,9
21,436,9112,1,4408,1
20,413,8379,1,5471,0
27,733,19855,1,5333,7
18,313,5526,0,6516,-2
26,665,17158,1,5533,6
15,235,3611,0,4199,-5
12,153,1893,0,4270,-8
11,131,1495,0,4456,-9
23,531,12251,1,6565,3
16,242,3769,0,5046,-4
25,626,15673,1,6001,5
14,206,2967,0,3590,-6
19,345,6397,0,4030,-1
17,293,5017,0,5591,-3
20,382,7463,0,3043,0
23,526,12052,1,4814,3
33,1057,34373,1,5801,13
12,137,1607,0,6030,-8
15,229,3463,0,3630,-5
20,381,7448,0,3191,0
22,483,10602,1,5002,2
18,306,5360,0,5079,-2
16,240,3725,0,6168,-4
16,265,4325,0,6198,-4
6,34,198,0,6229,-14
18,334,6106,0,6079,-2
15,236,3621,0,4824,-5
15,225,3372,0,4657,-5
12,151,1860,0,3462,-8
28,806,22877,1,4697,8
23,518,11794,1,6895,3
22,499,11137,1,5309,2
21,422,8657,1,6258,1
23,545,12720,1,5104,3
16,240,3725,0,5709,-4
20,396,7867,0,3774,0
14,196,2739,0,5991,-6
15,217,3200,0,4733,-5
20,398,7948,0,5018,0
13,163,2090,0,4338,-7
30,914,27614,1,5667,10
17,292,4979,0,6907,-3
20,416,8475,1,5453,0
23,509,11495,1,8802,3
15,220,3273,0,4360,-5
21,442,9306,1,5562,1
23,515,11693,1,4928,3
18,306,5364,0,5109,-2
26,655,16756,1,6289,6
20,398,7929,0,5458,0
24,596,14568,1,5580,4
19,346,6424,0,5334,-1
26,670,17347,1,5898,6
16,255,4083,0,5478,-4
24,563,13357,1,6724,4
19,373,7192,0,4053,-1
18,335,6125,0,5011,-2
12,153,1896,0,5257,-8
22,475,10365,1,6616,2
18,316,5627,0,5319,-2
17,275,4572,0,4001,-3
17,296,5080,0,4176,-3
16,244,3802,0,5041,-4
18,333,6080,0,4643,-2
19,360,6832,0,5158,-1
8,60,466,0,6319,-12
18,314,5561,0,4341,-2
19,375,7254,0,5197,-1
20,404,8134,1,5566,0
15,231,3508,0,4808,-5
22,498,11126,1,5036,2
22,489,10823,1,5847,2
21,461,9905,1,5484,1
19,379,7393,0,5353,-1
20,382,7460,0,3340,0
18,315,5593,0,4060,-2
19,360,6830,0,4469,-1
14,185,2510,0,4653,-6
22,487,10738,1,5154,2
21,442,9294,1,4622,1
17,304,5313,0,4426,-3
9,76,657,0,5345,-11
21,455,9712,1,5142,1
22,464,9984,1,6260,2
18,312,5523,0,3817,-2
18,336,6152,0,5854,-2
20,394,7833,0,5417,0
21,432,8992,1,4489,1
19,370,7119,0,7035,-1
16,263,4265,0,4461,-4
15,228,3435,0,5690,-5
28,796,22476,1,5498,8
17,281,4702,0,5515,-3
18,324,5842,0,4516,-2
22,497,11094,1,5132,2
14,203,2901,0,5105,-6
14,206,2946,0,3751,-6
12,135,1561,0,4090,-8
12,151,1860,0,3705,-8
25,624,15576,1,4995,5
20,413,8405,1,7050,0
25,611,15109,1,6379,5
18,308,5400,0,4918,-2
19,359,6792,0,4090,-1
21,442,9292,1,5199,1
23,525,12034,1,6405,3
26,673,17478,1,6473,6
19,366,6994,0,5424,-1
24,555,13086,1,5866,4
20,385,7557,0,5558,0
16,244,3810,0,3699,-4
18,314,5560,0,5480,-2
28,793,22345,1,4694,8
24,564,13399,1,6079,4
23,531,12236,1,5227,3
18,340,6271,0,4817,-2
24,598,14612,1,5795,4
19,374,7241,0,5285,-1
19,344,6373,0,3680,-1
11,132,1515,0,5904,-9
13,160,2019,0,4519,-7
17,290,4937,0,5430,-3
21,443,9311,1,4143,1
17,295,5055,0,5926,-3
29,818,23381,1,5720,9
17,294,5048,0,3274,-3
13,166,2136,0,4870,-7
20,403,8104,1,6532,0
24,600,14691,1,4901,4
18,307,5371,0,5374,-2
23,542,12633,1,5779,3
16,269,4419,0,5439,-4
22,498,11111,1,5664,2
20,396,7872,0,4901,0
32,1013,32254,1,2462,12
25,611,15102,1,5085,5
21,456,9739,1,5995,1
18,314,5561,0,3069,-2
32,1053,34190,1,4397,12
28,776,21611,1,5586,8
24,583,14084,1,4069,4
13,168,2174,0,6733,-7
23,512,11581,1,3919,3
20,391,7721,0,2727,0
17,276,4574,0,5691,-3
20,383,7503,0,4813,0
28,763,21059,1,4234,8
28,767,21222,1,5234,8
15,239,3694,0,3689,-5
21,421,8625,1,6019,1
20,384,7528,0,4479,0
24,579,13936,1,4610,4
15,225,3376,0,5062,-5
15,239,3702,0,4594,-5
26,671,17364,1,4097,6
16,262,4250,0,4428,-4
22,493,10939,1,6377,2
17,305,5326,0,6264,-3
18,317,5652,0,6447,-2
23,525,12044,1,6498,3
26,683,17832,1,5500,6
24,568,13547,1,4989,4
19,379,7392,0,7269,-1
26,658,16866,1,6793,6
13,165,2119,0,3558,-7
24,565,13416,1,5364,4
13,172,2250,0,5879,-7
24,570,13598,1,4725,4
21,438,9166,1,4025,1
24,592,14422,1,6236,4
19,363,6920,0,5733,-1
18,315,5591,0,4714,-2
18,340,6279,0,5340,-2
18,330,5995,0,4286,-2
18,336,6153,0,5502,-2
14,207,2975,0,4214,-6
24,553,12990,1,5487,4
24,567,13498,1,6374,4
13,173,2276,0,3976,-7
15,211,3061,0,6165,-5
27,709,18894,1,6814,7
28,777,21643,1,4585,8
28,767,21247,1,5486,8
24,574,13736,1,5453,4
28,800,22625,1,5792,8
25,632,15894,1,4259,5
19,371,7146,0,4814,-1
27,726,19546,1,5052,7
22,483,10618,1,6936,2
26,675,17543,1,4365,6
27,750,20535,1,7457,7
28,769,21308,1,5268,8
11,127,1423,0,4913,-9
25,613,15178,1,4620,5
21,439,9213,1,6836,1
24,560,13258,1,4314,4
7,45,300,0,5572,-13
17,295,5077,0,5541,-3
28,757,20842,1,4747,8
21,441,9254,1,4176,1
19,360,6826,0,5408,-1
20,417,8529,1,4773,0
11,120,1318,0,5140,-9
27,744,20308,1,5129,7
19,343,6350,0,4839,-1
25,618,15352,1,3994,5
21,452,9596,1,3804,1
18,334,6102,0,5795,-2
21,450,9548,1,4694,1
21,428,8867,1,7306,1
24,553,13017,1,7055,4
19,345,6405,0,5863,-1
21,457,9785,1,5814,1
33,1093,36120,1,4855,13
19,349,6507,0,3823,-1
12,149,1815,0,3873,-8
12,137,1598,0,5823,-8
24,595,14501,1,6151,4
15,219,3240,0,5052,-5
19,360,6824,0,5280,-1
7,49,345,0,4178,-13
27,721,19372,1,4450,7
21,440,9217,1,6928,1
13,157,1965,0,4813,-7
25,627,15713,1,5162,5
19,369,7081,0,6699,-1
25,617,15323,1,5884,5
20,416,8498,1,4552,0
17,288,4893,0,5210,-3
22,481,10552,1,6501,2
26,664,17092,1,5562,6
20,385,7549,0,3971,0
22,463,9956,1,7979,2
23,545,12731,1,5475,3
18,329,5964,0,6296,-2
13,161,2035,0,3987,-7
27,704,18676,1,6438,7
23,537,12441,1,7273,3
23,508,11447,1,5027,3
17,305,5334,0,5372,-3
20,418,8549,1,4103,0
22,474,10330,1,5560,2
20,396,7891,0,5629,0
16,250,3950,0,4760,-4
22,505,11350,1,5376,2
12,138,1613,0,3229,-8
25,623,15544,1,6488,5
26,698,18455,1,4087,6
16,262,4237,0,6153,-4
17,275,4565,0,4613,-3
20,419,8568,1,5427,0
20,417,8513,1,4806,0
24,589,14300,1,4544,4
20,392,7773,0,4148,0
18,323,5808,0,4356,-2
13,181,2439,0,4144,-7
14,192,2662,0,5489,-6
22,498,11118,1,4877,2
18,336,6166,0,4386,-2
22,478,10442,1,5113,2
31,984,30844,1,5305,11
16,256,4099,0,5026,-4
25,617,15313,1,5715,5
19,363,6915,0,4271,-1
24,581,14021,1,5708,4
16,265,4309,0,5968,-4
22,491,10886,1,5525,2
17,277,4606,0,5257,-3
14,205,2942,0,3008,-6
8,68,563,0,4841,-12
28,803,22761,1,6456,8
23,514,11661,1,5881,3
14,197,2757,0,4139,-6
25,620,15428,1,4170,5
20,419,8570,1,3868,0
25,608,15008,1,4584,5
27,714,19059,1,5509,7
18,335,6134,0,5490,-2
19,380,7396,0,5359,-1
22,477,10412,1,6201,2
19,361,6846,0,5126,-1
26,658,16884,1,5857,6
13,161,2034,0,4251,-7
23,522,11926,1,4771,3
12,141,1680,0,4277,-8
24,561,13294,1,6775,4
18,326,5880,0,5631,-2
25,620,15438,1,6164,5
24,555,13091,1,6699,4
24,572,13665,1,5840,4
12,133,1529,0,5325,-8
27,713,19056,1,4812,7
23,514,11661,1,6378,3
21,426,8792,1,5720,1
23,536,12416,1,6079,3
19,353,6624,0,3362,-1
16,269,4418,0,3618,-4
19,368,7064,0,3468,-1
13,179,2391,0,4551,-7
26,681,17782,1,7379,6
17,275,4561,0,5166,-3
21,445,9372,1,5276,1
21,431,8941,1,7804,1
19,378,7339,0,3386,-1
26,658,16893,1,3289,6
26,658,16862,1,6132,6
15,215,3149,0,5676,-5
18,329,5979,0,5400,-2
29,851,24815,1,3882,9
19,372,7184,0,5058,-1
14,195,2714,0,5296,-6
20,414,8428,1,5821,0
25,608,14992,1,6766,5
26,657,16858,1,4336,6
21,442,9292,1,5597,1
20,390,7706,0,4770,0
21,431,8951,1,4844,1
22,490,10859,1,5088,2
14,193,2672,0,4646,-6
12,156,1952,0,5465,-8
28,769,21331,1,3880,8
15,234,3589,0,6358,-5
23,547,12809,1,7387,3
26,674,17499,1,5522,6
17,274,4525,0,4480,-3
18,319,5696,0,4676,-2
25,629,15770,1,5672,5
27,706,18770,1,4368,7
18,308,5411,0,5156,-2
19,375,7251,0,3581,-1
25,633,15929,1,4713,5
22,483,10630,1,4494,2
20,419,8578,1,4899,0
24,557,13144,1,4377,4
24,577,13875,1,4117,4
9,74,643,0,4941,-11
20,414,8411,1,6112,0
20,400,8005,1,5774,0
29,821,23510,1,4478,9
30,914,27643,1,4723,10
19,360,6841,0,4588,-1
35,1249,44151,1,4335,15
24,586,14199,1,5661,4
21,430,8917,1,7830,1
23,516,11706,1,7407,3
15,220,3258,0,5348,-5
16,263,4270,0,5637,-4
15,231,3509,0,5313,-5
13,176,2338,0,4811,-7
7,43,281,0,2958,-13
20,419,8589,1,4239,0
22,477,10428,1,7416,2
27,745,20350,1,4154,7
26,650,16586,1,6395,6
17,280,4676,0,6005,-3
21,452,9598,1,4885,1
23,512,11581,1,5478,3
11,125,1398,0,6094,-9
22,486,10713,1,6201,2
23,521,11903,1,5037,3
16,254,4051,0,3187,-4
23,530,12204,1,5980,3
25,638,16129,1,6070,5
21,460,9863,1,3173,1
21,457,9766,1,6533,1
24,596,14545,1,5388,4
15,227,3430,0,5572,-5
20,417,8525,1,6520,0
18,332,6047,0,4315,-2
15,230,3479,0,4899,-5
17,293,5005,0,5235,-3
15,236,3615,0,3037,-5
13,178,2365,0,4359,-7
32,995,31392,1,5402,12
19,368,7065,0,6528,-1
17,277,4614,0,6249,-3
15,231,3508,0,3464,-5
20,389,7658,0,6119,0
21,434,9050,1,4934,1
23,529,12161,1,6633,3
16,267,4372,0,5168,-4
15,228,3444,0,4515,-5
14,198,2783,0,4648,-6
19,354,6670,0,3912,-1
21,447,9440,1,4165,1
13,166,2135,0,4621,-7
22,497,11095,1,6553,2
26,688,18035,1,6002,6
20,405,8137,1,4629,0
22,476,10387,1,5360,2
22,493,10943,1,5483,2
30,895,26772,1,5138,10
11,126,1419,0,5011,-9
15,217,3191,0,3932,-5
20,390,7690,0,5001,0
9,81,730,0,4499,-11
26,654,16718,1,5678,6
22,502,11255,1,5863,2
15,217,3205,0,5864,-5
21,455,9710,1,4943,1
21,442,9294,1,3951,1
23,516,11708,1,4846,3
21,459,9840,1,5607,1
21,443,9320,1,6496,1
27,703,18646,1,3587,7
18,326,5890,0,7243,-2
19,342,6333,0,5387,-1
7,44,296,0,4906,-13
23,544,12672,1,4759,3
19,363,6911,0,5039,-1
22,464,9999,1,5873,2
19,362,6893,0,5769,-1
27,707,18802,1,5070,7
21,423,8707,1,6959,1
16,255,4065,0,4235,-4
24,584,14131,1,5497,4
15,237,3655,0,5074,-5
26,687,17993,1,4274,6
18,333,6088,0,5886,-2
24,554,13041,1,5931,4
15,233,3565,0,3779,-5
14,193,2674,0,5095,-6
18,313,5531,0,6309,-2
21,460,9858,1,6058,1
13,181,2431,0,5508,-7
22,493,10953,1,6873,2
20,419,8578,1,5295,0
19,352,6605,0,3123,-1
20,388,7636,0,6279,0
20,405,8162,1,5302,0
28,795,22427,1,5951,8
24,569,13588,1,7149,4
14,196,2735,0,5557,-6
22,502,11254,1,5543,2
26,686,17961,1,5531,6
24,574,13755,1,6524,4
32,1027,32916,1,4996,12
22,482,10566,1,5370,2
21,434,9047,1,4850,1
17,273,4507,0,7574,-3
24,577,13878,1,5238,4
19,367,7031,0,5482,-1
22,497,11072,1,4377,2
17,306,5356,0,5607,-3
17,284,4787,0,4727,-3
23,513,11608,1,6239,3
23,522,11926,1,3489,3
11,122,1342,0,4616,-9
19,347,6471,0,5692,-1
19,355,6675,0,3715,-1
18,310,5466,0,4767,-2
22,499,11149,1,6399,2
19,354,6655,0,6266,-1
12,152,1869,0,4593,-8
30,890,26549,1,5101,10
26,674,17487,1,7161,6
22,490,10851,1,5602,2
24,592,14398,1,6526,4
18,338,6216,0,6181,-2
21,427,8832,1,5890,1
24,558,13194,1,5676,4
12,145,1741,0,4630,-8
19,361,6871,0,5367,-1
17,289,4914,0,4433,-3
24,565,13413,1,5255,4
21,450,9549,1,4668,1
21,424,8718,1,5558,1
11,129,1459,0,4441,-9
18,328,5935,0,5383,-2
18,342,6322,0,6536,-2
16,250,3954,0,5245,-4
18,318,5658,0,2572,-2
18,334,6105,0,2978,-2
20,394,7829,0,5061,0
21,420,8616,1,5718,1
19,357,6738,0,4790,-1
10,108,1120,0,5147,-10
23,514,11662,1,6324,3
20,396,7892,0,5321,0
8,63,498,0,6294,-12
25,611,15096,1,6326,5
15,213,3111,0,5275,-5
10,104,1054,0,4773,-10
13,158,1977,0,4176,-7
13,178,2371,0,4673,-7
21,434,9043,1,8024,1
22,470,10173,1,5240,2
22,497,11090,1,6586,2
25,609,15017,1,4825,5
21,424,8741,1,4470,1
25,603,14816,1,5115,5
19,364,6945,0,4676,-1
25,642,16271,1,4721,5
17,284,4777,0,3880,-3
21,453,9641,1,6776,1
23,508,11434,1,5192,3
17,273,4513,0,5380,-3
17,275,4551,0,4898,-3
17,297,5124,0,4430,-3
13,170,2212,0,4094,-7
26,663,17059,1,5673,6
15,238,3681,0,5617,-5
12,147,1781,0,5074,-8
12,142,1693,0,5697,-8
20,420,8603,1,5955,0
23,538,12494,1,5365,3
15,211,3064,0,7323,-5
23,512,11576,1,5721,3
13,175,2308,0,6241,-7
12,135,1573,0,6656,-8
28,770,21381,1,6640,8
22,480,10511,1,6165,2
22,494,10989,1,6885,2
33,1104,36662,1,6052,13
16,265,4304,0,5512,-4
19,371,7158,0,4190,-1
14,208,3000,0,4845,-6
15,232,3529,0,3900,-5
18,331,6024,0,4197,-2
23,542,12619,1,7141,3
18,332,6045,0,5977,-2
14,200,2835,0,5927,-6
16,256,4107,0,5608,-4
21,442,9287,1,5352,1
20,412,8351,1,7136,0
21,426,8792,1,6561,1
13,178,2379,0,5308,-7
21,454,9664,1,4302,1
18,338,6215,0,4273,-2
18,309,5434,0,5962,-2
22,504,11324,1,4060,2
19,360,6834,0,5052,-1
22,474,10328,1,4893,2
21,448,9493,1,5307,1
16,272,4489,0,3829,-4
17,287,4872,0,4730,-3
26,656,16791,1,8143,6
23,539,12509,1,5890,3
10,102,1037,0,4986,-10
17,291,4970,0,3975,-3
29,820,23480,1,5565,9
23,537,12444,1,5478,3
16,269,4415,0,5897,-4
16,247,3875,0,2925,-4
19,363,6920,0,5760,-1
19,365,6981,0,5813,-1
19,344,6387,0,2500,-1
19,376,7296,0,7396,-1
7,52,378,0,4235,-13
19,358,6762,0,5964,-1
19,350,6549,0,5330,-1
21,439,9186,1,4457,1
18,322,5769,0,5179,-2
19,352,6605,0,3990,-1
25,618,15365,1,5259,5
21,448,9497,1,4950,1
4,13,46,0,6289,-16
22,477,10430,1,4804,2
27,729,19666,1,5849,7
15,238,3676,0,4806,-5
20,393,7777,0,4465,0
27,749,20518,1,4423,7
22,478,10436,1,4659,2
19,377,7316,0,5807,-1
12,153,1896,0,6097,-8
16,250,3963,0,4181,-4
15,222,3300,0,4112,-5
25,632,15887,1,5586,5
23,534,12356,1,5446,3
18,307,5381,0,5747,-2
28,759,20928,1,5282,8
12,148,1807,0,3345,-8
9,89,846,0,4138,-11
13,177,2345,0,3722,-7
23,545,12721,1,4068,3
22,482,10598,1,6946,2
26,696,18346,1,2744,6
17,295,5071,0,5269,-3
14,194,2706,0,4407,-6
21,446,9407,1,4575,1
18,308,5398,0,5070,-2
19,345,6397,0,5317,-1
14,188,2582,0,4720,-6
18,309,5444,0,5459,-2
17,279,4651,0,4067,-3
24,554,13035,1,5275,4
22,473,10293,1,6589,2
26,671,17376,1,6130,6
19,370,7127,0,3426,-1
26,697,18384,1,4959,6
18,309,5425,0,4374,-2
18,328,5934,0,5164,-2
19,343,6343,0,4447,-1
26,677,17624,1,6081,6
27,753,20681,1,3349,7
28,789,22153,1,5803,8
29,851,24845,1,5566,9
23,552,12968,1,3903,3
16,255,4068,0,4869,-4
15,212,3091,0,6674,-5
27,702,18614,1,6752,7
21,448,9475,1,4469,1
24,575,13776,1,2845,4
20,413,8402,1,6787,0
16,250,3951,0,3187,-4
15,227,3412,0,3496,-5
13,162,2054,0,6059,-7
17,284,4778,0,5639,-3
18,334,6115,0,4022,-2
22,473,10273,1,6143,2
20,409,8261,1,6845,0
21,458,9813,1,5251,1
26,679,17708,1,4587,6
21,459,9834,1,6551,1
4,19,84,0,6276,-16
18,338,6221,0,6629,-2
12,140,1662,0,5356,-8
20,387,7612,0,5572,0
13,180,2419,0,5989,-7
11,117,1263,0,6928,-9
23,537,12443,1,4729,3
19,356,6716,0,7197,-1
20,393,7793,0,4903,0
22,492,10911,1,5927,2
10,96,946,0,6479,-10
22,478,10437,1,5393,2
27,749,20507,1,5815,7
15,213,3109,0,4454,-5
26,661,16988,1,6792,6
23,548,12833,1,5293,3
24,567,13507,1,4993,4
30,889,26494,1,3856,10
14,201,2855,0,4609,-6
16,266,4328,0,4999,-4
14,188,2582,0,4270,-6
27,709,18891,1,6445,7
17,296,5087,0,4424,-3
17,300,5188,0,4592,-3
28,809,23026,1,5796,8
16,262,4245,0,4136,-4
29,830,23931,1,3341,9
27,703,18649,1,4495,7
17,306,5340,0,4155,-3
23,514,11654,1,6211,3
22,501,11222,1,5822,2
18,324,5826,0,6021,-2
23,520,11843,1,2742,3
21,450,9548,1,4109,1
32,1054,34199,1,5882,12
28,803,22742,1,5592,8
28,800,22647,1,7122,8
23,538,12479,1,5397,3
17,273,4508,0,3640,-3
20,390,7701,0,5495,0
26,702,18589,1,5738,6
27,713,19046,1,4916,7
19,359,6800,0,4277,-1
24,577,13855,1,6468,4
15,238,3663,0,5347,-5
22,489,10815,1,5526,2
18,338,6214,0,3845,-2
15,236,3615,0,3757,-5
20,418,8540,1,5956,0
20,412,8350,1,5556,0
20,404,8109,1,7547,0
20,387,7604,0,4341,0
29,842,24453,1,4991,9
16,258,4147,0,5461,-4
22,486,10713,1,5651,2
25,618,15351,1,6436,5
18,311,5496,0,5642,-2
26,673,17467,1,7829,6
16,253,4035,0,3786,-4
24,578,13895,1,4335,4
14,205,2940,0,5789,-6
26,699,18488,1,4682,6
19,354,6653,0,6117,-1
30,917,27786,1,4315,10
18,314,5576,0,4323,-2
29,834,24091,1,4464,9
18,340,6275,0,6188,-2
19,375,7273,0,5169,-1
23,549,12851,1,6429,3
15,237,3654,0,5936,-5
20,408,8245,1,6760,0
23,530,12191,1,6495,3
12,140,1655,0,5317,-8
19,352,6597,0,5136,-1
16,269,4423,0,3056,-4
21,432,8984,1,6258,1
